"","APMC","Commodity","Year","V1"
"4802","Manchar","Kanda Pat",2015,0.102605148022985
"4803","Jalgaon","Maize",2015,0.102592852350594
"4804","Solapur","Garlic",2014,0.10258519845578
"4805","Gangapur","Green Gram",2014,0.102572214603665
"4806","Patur","Soybean",2016,0.10256911496988
"4807","Lasalgaon","Sorgum(Jawar)",2015,0.102521543632097
"4808","Jalgaon","Beet Root",2014,0.102479243650224
"4809","Karad","Green Chilli",2014,0.102374065694219
"4810","Kada","Green Gram",2015,0.102363912896795
"4811","Baramati","Soybean",2015,0.102168850823917
"4812","Jafrabad","Maize",2015,0.102114299975511
"4813","Shahada","Maize",2015,0.102078334667221
"4814","Amarawati","Naspatti",2016,0.102056648831048
"4815","Baramati","Maize",2016,0.102047083039097
"4816","Mangrulpeer","Sorgum(Jawar)",2015,0.102026171327725
"4817","Khamgaon","Bajri",2016,0.101985380599636
"4818","Buldhana","Sorgum(Jawar)",2015,0.101890222633525
"4819","Kurdwadi-Modnimb","Black Gram",2016,0.101818063873974
"4820","Khamgaon","Soybean",2016,0.101786504288914
"4821","Jalgaon","Carrot",2015,0.101752909459011
"4822","Washim","Mustard",2015,0.10173714278422
"4823","Jintur","Sorgum(Jawar)",2015,0.101721736782891
"4824","Kej","Bhagar/Vari",2016,0.101718078943852
"4825","Nanded","Turmeric",2014,0.101682375647252
"4826","Pachora","Black Gram",2016,0.101673511747281
"4827","Chandvad","Ladies Finger",2016,0.101660612938992
"4828","Ahmedpur","Maize",2016,0.101626889933537
"4829","Murum","Wheat(Unhusked)",2015,0.101558938590785
"4830","Dudhani","Black Gram",2016,0.101539087289365
"4831","Shevgaon","Gram",2015,0.101450149151104
"4832","Bhusaval","Green Gram",2015,0.101371923032658
"4833","Solapur","Chillies(Red)",2016,0.101336826929917
"4834","Indapur","Bajri",2016,0.10132459442327
"4835","Buldhana-Dhad","Maize",2015,0.101323484316479
"4836","Kolhapur","Bor",2016,0.101261273097343
"4837","Kolhapur-Laxmipuri","Cowpea",2014,0.101164395651393
"4838","Taloda","Green Gram",2015,0.101120222165123
"4839","Tumsar","Jaggery",2015,0.101089344174241
"4840","Kalamb (Os)","Jaggery",2016,0.101087432844052
"4841","Nanded","Turmeric",2015,0.101074862310343
"4842","Basmat","Turmeric",2015,0.101034861846264
"4843","Ramtek","Kand",2016,0.101015254455221
"4844","Bhokar","Turmeric",2016,0.101004871738578
"4845","Ahmednagar","Matki",2016,0.101004617721298
"4846","Jalgaon","Gram",2015,0.100996414010562
